state,date,sex,ethnicity,abs
Johor,01/01/2015,female,bumi_malay,4466
Johor,01/01/2015,male,bumi_malay,6008
Johor,01/01/2016,female,bumi_malay,4767
Johor,01/01/2016,male,bumi_malay,6389
Johor,01/01/2017,female,bumi_malay,4911
Johor,01/01/2017,male,bumi_malay,6636
Johor,01/01/2018,female,bumi_malay,5027
Johor,01/01/2018,male,bumi_malay,6785
Johor,01/01/2019,female,bumi_malay,5234
Johor,01/01/2019,male,bumi_malay,6928
Johor,01/01/2020,female,bumi_malay,4831
Johor,01/01/2020,male,bumi_malay,6645
Johor,01/01/2021,female,bumi_malay,6736
Johor,01/01/2021,male,bumi_malay,8554
Johor,01/01/2022,female,bumi_malay,6296
Johor,01/01/2022,male,bumi_malay,8021
Kedah,01/01/2015,female,bumi_malay,4617
Kedah,01/01/2015,male,bumi_malay,5904
Kedah,01/01/2016,female,bumi_malay,4744
Kedah,01/01/2016,male,bumi_malay,5887
Kedah,01/01/2017,female,bumi_malay,4973
Kedah,01/01/2017,male,bumi_malay,6188
Kedah,01/01/2018,female,bumi_malay,5007
Kedah,01/01/2018,male,bumi_malay,6285
Kedah,01/01/2019,female,bumi_malay,4870
Kedah,01/01/2019,male,bumi_malay,6104
Kedah,01/01/2020,female,bumi_malay,4655
Kedah,01/01/2020,male,bumi_malay,5885
Kedah,01/01/2021,female,bumi_malay,6662
Kedah,01/01/2021,male,bumi_malay,7652
Kedah,01/01/2022,female,bumi_malay,6216
Kedah,01/01/2022,male,bumi_malay,7531
Kelantan,01/01/2015,female,bumi_malay,4447
Kelantan,01/01/2015,male,bumi_malay,5721
Kelantan,01/01/2016,female,bumi_malay,4412
Kelantan,01/01/2016,male,bumi_malay,5713
Kelantan,01/01/2017,female,bumi_malay,4612
Kelantan,01/01/2017,male,bumi_malay,5871
Kelantan,01/01/2018,female,bumi_malay,4698
Kelantan,01/01/2018,male,bumi_malay,5884
Kelantan,01/01/2019,female,bumi_malay,4655
Kelantan,01/01/2019,male,bumi_malay,6019
Kelantan,01/01/2020,female,bumi_malay,4415
Kelantan,01/01/2020,male,bumi_malay,5813
Kelantan,01/01/2021,female,bumi_malay,5948
Kelantan,01/01/2021,male,bumi_malay,7093
Kelantan,01/01/2022,female,bumi_malay,5690
Kelantan,01/01/2022,male,bumi_malay,6912
Melaka,01/01/2015,female,bumi_malay,1352
Melaka,01/01/2015,male,bumi_malay,1641
Melaka,01/01/2016,female,bumi_malay,1410
Melaka,01/01/2016,male,bumi_malay,1715
Melaka,01/01/2017,female,bumi_malay,1526
Melaka,01/01/2017,male,bumi_malay,1777
Melaka,01/01/2018,female,bumi_malay,1449
Melaka,01/01/2018,male,bumi_malay,1863
Melaka,01/01/2019,female,bumi_malay,1522
Melaka,01/01/2019,male,bumi_malay,1857
Melaka,01/01/2020,female,bumi_malay,1465
Melaka,01/01/2020,male,bumi_malay,1779
Melaka,01/01/2021,female,bumi_malay,2003
Melaka,01/01/2021,male,bumi_malay,2384
Melaka,01/01/2022,female,bumi_malay,1859
Melaka,01/01/2022,male,bumi_malay,2201
Negeri Sembilan,01/01/2015,female,bumi_malay,1557
Negeri Sembilan,01/01/2015,male,bumi_malay,2041
Negeri Sembilan,01/01/2016,female,bumi_malay,1625
Negeri Sembilan,01/01/2016,male,bumi_malay,2058
Negeri Sembilan,01/01/2017,female,bumi_malay,1658
Negeri Sembilan,01/01/2017,male,bumi_malay,2213
Negeri Sembilan,01/01/2018,female,bumi_malay,1692
Negeri Sembilan,01/01/2018,male,bumi_malay,2330
Negeri Sembilan,01/01/2019,female,bumi_malay,1688
Negeri Sembilan,01/01/2019,male,bumi_malay,2259
Negeri Sembilan,01/01/2020,female,bumi_malay,1623
Negeri Sembilan,01/01/2020,male,bumi_malay,2202
Negeri Sembilan,01/01/2021,female,bumi_malay,2265
Negeri Sembilan,01/01/2021,male,bumi_malay,2811
Negeri Sembilan,01/01/2022,female,bumi_malay,2107
Negeri Sembilan,01/01/2022,male,bumi_malay,2699
Pahang,01/01/2015,female,bumi_malay,2469
Pahang,01/01/2015,male,bumi_malay,3568
Pahang,01/01/2016,female,bumi_malay,2573
Pahang,01/01/2016,male,bumi_malay,3742
Pahang,01/01/2017,female,bumi_malay,2743
Pahang,01/01/2017,male,bumi_malay,3837
Pahang,01/01/2018,female,bumi_malay,2712
Pahang,01/01/2018,male,bumi_malay,3873
Pahang,01/01/2019,female,bumi_malay,2763
Pahang,01/01/2019,male,bumi_malay,3740
Pahang,01/01/2020,female,bumi_malay,2552
Pahang,01/01/2020,male,bumi_malay,3562
Pahang,01/01/2021,female,bumi_malay,3042
Pahang,01/01/2021,male,bumi_malay,4251
Pahang,01/01/2022,female,bumi_malay,3240
Pahang,01/01/2022,male,bumi_malay,4632
Perak,01/01/2015,female,bumi_malay,3731
Perak,01/01/2015,male,bumi_malay,4762
Perak,01/01/2016,female,bumi_malay,3805
Perak,01/01/2016,male,bumi_malay,4978
Perak,01/01/2017,female,bumi_malay,3892
Perak,01/01/2017,male,bumi_malay,5016
Perak,01/01/2018,female,bumi_malay,4125
Perak,01/01/2018,male,bumi_malay,5087
Perak,01/01/2019,female,bumi_malay,4118
Perak,01/01/2019,male,bumi_malay,5069
Perak,01/01/2020,female,bumi_malay,3926
Perak,01/01/2020,male,bumi_malay,4942
Perak,01/01/2021,female,bumi_malay,4721
Perak,01/01/2021,male,bumi_malay,5935
Perak,01/01/2022,female,bumi_malay,5131
Perak,01/01/2022,male,bumi_malay,6196
Perlis,01/01/2015,female,bumi_malay,706
Perlis,01/01/2015,male,bumi_malay,820
Perlis,01/01/2016,female,bumi_malay,755
Perlis,01/01/2016,male,bumi_malay,874
Perlis,01/01/2017,female,bumi_malay,781
Perlis,01/01/2017,male,bumi_malay,930
Perlis,01/01/2018,female,bumi_malay,777
Perlis,01/01/2018,male,bumi_malay,994
Perlis,01/01/2019,female,bumi_malay,753
Perlis,01/01/2019,male,bumi_malay,961
Perlis,01/01/2020,female,bumi_malay,777
Perlis,01/01/2020,male,bumi_malay,915
Perlis,01/01/2021,female,bumi_malay,854
Perlis,01/01/2021,male,bumi_malay,1048
Perlis,01/01/2022,female,bumi_malay,938
Perlis,01/01/2022,male,bumi_malay,1156
Pulau Pinang,01/01/2015,female,bumi_malay,1643
Pulau Pinang,01/01/2015,male,bumi_malay,1999
Pulau Pinang,01/01/2016,female,bumi_malay,1646
Pulau Pinang,01/01/2016,male,bumi_malay,2206
Pulau Pinang,01/01/2017,female,bumi_malay,1853
Pulau Pinang,01/01/2017,male,bumi_malay,2114
Pulau Pinang,01/01/2018,female,bumi_malay,1836
Pulau Pinang,01/01/2018,male,bumi_malay,2249
Pulau Pinang,01/01/2019,female,bumi_malay,1763
Pulau Pinang,01/01/2019,male,bumi_malay,2186
Pulau Pinang,01/01/2020,female,bumi_malay,1689
Pulau Pinang,01/01/2020,male,bumi_malay,2092
Pulau Pinang,01/01/2021,female,bumi_malay,2229
Pulau Pinang,01/01/2021,male,bumi_malay,2757
Pulau Pinang,01/01/2022,female,bumi_malay,2088
Pulau Pinang,01/01/2022,male,bumi_malay,2622
Sabah,01/01/2015,female,bumi_malay,485
Sabah,01/01/2015,male,bumi_malay,784
Sabah,01/01/2016,female,bumi_malay,636
Sabah,01/01/2016,male,bumi_malay,1113
Sabah,01/01/2017,female,bumi_malay,658
Sabah,01/01/2017,male,bumi_malay,1172
Sabah,01/01/2018,female,bumi_malay,704
Sabah,01/01/2018,male,bumi_malay,1268
Sabah,01/01/2019,female,bumi_malay,776
Sabah,01/01/2019,male,bumi_malay,1310
Sabah,01/01/2020,female,bumi_malay,751
Sabah,01/01/2020,male,bumi_malay,1229
Sabah,01/01/2021,female,bumi_malay,1050
Sabah,01/01/2021,male,bumi_malay,1568
Sabah,01/01/2022,female,bumi_malay,913
Sabah,01/01/2022,male,bumi_malay,1468
Sarawak,01/01/2015,female,bumi_malay,1088
Sarawak,01/01/2015,male,bumi_malay,1410
Sarawak,01/01/2016,female,bumi_malay,1107
Sarawak,01/01/2016,male,bumi_malay,1446
Sarawak,01/01/2017,female,bumi_malay,1092
Sarawak,01/01/2017,male,bumi_malay,1479
Sarawak,01/01/2018,female,bumi_malay,1206
Sarawak,01/01/2018,male,bumi_malay,1574
Sarawak,01/01/2019,female,bumi_malay,1240
Sarawak,01/01/2019,male,bumi_malay,1557
Sarawak,01/01/2020,female,bumi_malay,1215
Sarawak,01/01/2020,male,bumi_malay,1623
Sarawak,01/01/2021,female,bumi_malay,1485
Sarawak,01/01/2021,male,bumi_malay,1966
Sarawak,01/01/2022,female,bumi_malay,1437
Sarawak,01/01/2022,male,bumi_malay,1888
Selangor,01/01/2015,female,bumi_malay,4749
Selangor,01/01/2015,male,bumi_malay,6261
Selangor,01/01/2016,female,bumi_malay,5026
Selangor,01/01/2016,male,bumi_malay,6689
Selangor,01/01/2017,female,bumi_malay,5278
Selangor,01/01/2017,male,bumi_malay,7050
Selangor,01/01/2018,female,bumi_malay,5528
Selangor,01/01/2018,male,bumi_malay,7257
Selangor,01/01/2019,female,bumi_malay,5388
Selangor,01/01/2019,male,bumi_malay,7509
Selangor,01/01/2020,female,bumi_malay,4764
Selangor,01/01/2020,male,bumi_malay,6889
Selangor,01/01/2021,female,bumi_malay,8107
Selangor,01/01/2021,male,bumi_malay,11011
Selangor,01/01/2022,female,bumi_malay,6510
Selangor,01/01/2022,male,bumi_malay,8847
Terengganu,01/01/2015,female,bumi_malay,2766
Terengganu,01/01/2015,male,bumi_malay,3692
Terengganu,01/01/2016,female,bumi_malay,2782
Terengganu,01/01/2016,male,bumi_malay,3777
Terengganu,01/01/2017,female,bumi_malay,2923
Terengganu,01/01/2017,male,bumi_malay,3843
Terengganu,01/01/2018,female,bumi_malay,2934
Terengganu,01/01/2018,male,bumi_malay,3899
Terengganu,01/01/2019,female,bumi_malay,3019
Terengganu,01/01/2019,male,bumi_malay,4025
Terengganu,01/01/2020,female,bumi_malay,2761
Terengganu,01/01/2020,male,bumi_malay,3711
Terengganu,01/01/2021,female,bumi_malay,3699
Terengganu,01/01/2021,male,bumi_malay,4439
